Comment,Designator,Footprint,JLCPCB Part,Package,Supplier and ref
1N4148W,"D_SPACE29,D_SPACE50,D_SPACE30,D_SPACE44,D_SPACE26,D_SPACE22,D_SPACE16,D_SPACE13,D_SPACE43,D_SPACE45,D_SPACE33,D_SPACE20,D_SPACE34,D_SPACE7,D_SPACE25,D_SPACE28,D_SPACE39,D_SPACE2,D_SPACE14,D_SPACE46,D_SPACE11,D_SPACE4,D_SPACE8,D_SPACE19,D_SPACE42,D_SPACE12,D_SPACE23,D_SPACE36,D_SPACE32,D_SPACE3,D_SPACE24,D_SPACE31,D_SPACE37,D_SPACE38,D_SPACE10,D_SPACE6,D_SPACE5,D_SPACE27,D_SPACE41,D_SPACE35,D_SPACE21,D_SPACE49,D_SPACE18,D_SPACE9,D_SPACE17,D_SPACE15,D_SPACE51,D_SPACE48,D_SPACE1,D_SPACE40,D_SPACE47",D_SOD-123,,D,
330,"R4,R5,R3",R_0805_2012Metric,C328392,R_0805_2012Metric,
22,"UR2,UR1",R0805,C17561,R_0805_2012Metric,
16 Mhz Crystal,X1,SMD-3225_4P,C13738,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,
4.7uF,C0,C0805,C1779,C_0805_2012Metric,
0.1uF,"C2,C4,C5,C3",C0805,C49678,C_0805_2012Metric,
10k,"R2,R1",R0805,C17414,R_0805_2012Metric,
ATMEGA32U4,U2,VQFN-44_EP_7.0x7.0x0.5P,C112161,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias,
22pF,"C8,C7",C0805,C1804,C_0805_2012Metric,
1uF,C6,C0805,C91185,C_0805_2012Metric,
1M,UR3,R0805,C17514,R_0805_2012Metric,
10uF,C1,C0805,C15850,C_0805_2012Metric,
5.1k,"UR4,UR5",R0805,C27834,R_0805_2012Metric,
HRO-TYPE-C-31-M-12,USB1,TYPE-C-31-M-12,C165948,HRO-TYPE-C-31-M-12-HandSoldering,
SRV05-4,U1,SOT-23-6,C85364,SOT-23-6,
1206L035/16YR,F1,F1206,C126817,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
