sep=;
"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K_SPACE30,K_SPACE31,K_SPACE38,K_SPACE22,K_SPACE11,K_SPACE42,K_SPACE1,K_SPACE51,K_SPACE12,K_SPACE2,K_SPACE50,K_SPACE10,K_SPACE37,K_SPACE34,K_SPACE24,K_SPACE9,K_SPACE15,K_SPACE48,K_SPACE17,K_SPACE16,K_SPACE25,K_SPACE21,K_SPACE28,K_SPACE35,K_SPACE6,K_SPACE14,K_SPACE49,K_SPACE3,K_SPACE19,K_SPACE13,K_SPACE5,K_SPACE26,K_SPACE39,K_SPACE36,K_SPACE18,K_SPACE45,K_SPACE8,K_SPACE29,K_SPACE23,K_SPACE4";"MXOnly-1U-NoLED";40;"KEYSW";;;
2;"K_SPACE40,K_SPACE46,K_SPACE33,K_SPACE41,K_SPACE27,K_SPACE47";"MXOnly-1.25U-NoLED";6;"KEYSW";;;
3;"SW2,SW1";"SW_SPST_SKQG_WithoutStem";2;"SW_PUSH";;;
4;"D3,D2,D1";"LED_D3.0mm";3;"LED";;;
5;"K_SPACE43,K_SPACE7,K_SPACE20";"MXOnly-1.5U-NoLED";3;"KEYSW";;;
6;"K_SPACE44,K_SPACE32";"MXOnly-1.75U-NoLED";2;"KEYSW";;;
7;"OL1";"OLED_v2";1;"OLED";;;
8;"D_SPACE29,D_SPACE50,D_SPACE30,D_SPACE44,D_SPACE26,D_SPACE22,D_SPACE16,D_SPACE13,D_SPACE43,D_SPACE45,D_SPACE33,D_SPACE20,D_SPACE34,D_SPACE7,D_SPACE25,D_SPACE28,D_SPACE39,D_SPACE2,D_SPACE14,D_SPACE46,D_SPACE11,D_SPACE4,D_SPACE8,D_SPACE19,D_SPACE42,D_SPACE12,D_SPACE23,D_SPACE36,D_SPACE32,D_SPACE3,D_SPACE24,D_SPACE31,D_SPACE37,D_SPACE38,D_SPACE10,D_SPACE6,D_SPACE5,D_SPACE27,D_SPACE41,D_SPACE35,D_SPACE21,D_SPACE49,D_SPACE18,D_SPACE9,D_SPACE17,D_SPACE15,D_SPACE51,D_SPACE48,D_SPACE1,D_SPACE40,D_SPACE47";"D_SOD-123";51;"D";;;
9;"R4,R5,R3";"R_0805_2012Metric";3;"330";;;
10;"UR2,UR1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
11;"X1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"Crystal_GND24_Small";;;
12;"C0";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF";;;
13;"C2,C4,C5,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1uf";;;
14;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
15;"U2";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias";1;"ATmega32U4-M";;;
16;"C8,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22p";;;
17;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uf";;;
18;"UR3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1M";;;
19;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
20;"UR4,UR5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
21;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
22;"U1";"SOT-23-6_Handsoldering";1;"SRV05-4";;;
23;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse_Small";;;
