Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_D3.0mm",6.129966,62.962563,180.000000,top
"D2","LED","LED_D3.0mm",6.129966,57.441463,180.000000,top
"D3","LED","LED_D3.0mm",6.129966,51.920363,180.000000,top
"K_SPACE1","KEYSW","MXOnly-1U-NoLED",10.318750,37.655500,0.000000,top
"K_SPACE2","KEYSW","MXOnly-1U-NoLED",29.368750,37.655500,0.000000,top
"K_SPACE3","KEYSW","MXOnly-1U-NoLED",48.418750,37.655500,0.000000,top
"K_SPACE4","KEYSW","MXOnly-1U-NoLED",67.468750,37.655500,0.000000,top
"K_SPACE5","KEYSW","MXOnly-1U-NoLED",86.518750,37.655500,0.000000,top
"K_SPACE6","KEYSW","MXOnly-1U-NoLED",105.568750,37.655500,0.000000,top
"K_SPACE7","KEYSW","MXOnly-1.5U-NoLED",15.081250,-0.444500,0.000000,top
"K_SPACE8","KEYSW","MXOnly-1U-NoLED",138.906250,37.655500,0.000000,top
"K_SPACE9","KEYSW","MXOnly-1U-NoLED",157.956250,37.655500,0.000000,top
"K_SPACE10","KEYSW","MXOnly-1U-NoLED",177.006250,37.655500,0.000000,top
"K_SPACE11","KEYSW","MXOnly-1U-NoLED",196.056250,37.655500,0.000000,top
"K_SPACE12","KEYSW","MXOnly-1U-NoLED",215.106250,37.655500,0.000000,top
"K_SPACE13","KEYSW","MXOnly-1U-NoLED",234.156250,37.655500,0.000000,top
"K_SPACE14","KEYSW","MXOnly-1U-NoLED",10.318750,18.605500,0.000000,top
"K_SPACE15","KEYSW","MXOnly-1U-NoLED",29.368750,18.605500,0.000000,top
"K_SPACE16","KEYSW","MXOnly-1U-NoLED",48.418750,18.605500,0.000000,top
"K_SPACE17","KEYSW","MXOnly-1U-NoLED",67.468750,18.605500,0.000000,top
"K_SPACE18","KEYSW","MXOnly-1U-NoLED",86.518750,18.605500,0.000000,top
"K_SPACE19","KEYSW","MXOnly-1U-NoLED",105.568750,18.605500,0.000000,top
"K_SPACE20","KEYSW","MXOnly-1.5U-NoLED",229.393750,-0.444500,0.000000,top
"K_SPACE21","KEYSW","MXOnly-1U-NoLED",138.906250,18.605500,0.000000,top
"K_SPACE22","KEYSW","MXOnly-1U-NoLED",157.956250,18.605500,0.000000,top
"K_SPACE23","KEYSW","MXOnly-1U-NoLED",177.006250,18.605500,0.000000,top
"K_SPACE24","KEYSW","MXOnly-1U-NoLED",196.056250,18.605500,0.000000,top
"K_SPACE25","KEYSW","MXOnly-1U-NoLED",215.106250,18.605500,0.000000,top
"K_SPACE26","KEYSW","MXOnly-1U-NoLED",234.156250,18.605500,0.000000,top
"K_SPACE27","KEYSW","MXOnly-1.25U-NoLED",12.700000,-19.494500,0.000000,top
"K_SPACE28","KEYSW","MXOnly-1U-NoLED",38.893750,-0.444500,0.000000,top
"K_SPACE29","KEYSW","MXOnly-1U-NoLED",57.943750,-0.444500,0.000000,top
"K_SPACE30","KEYSW","MXOnly-1U-NoLED",76.993750,-0.444500,0.000000,top
"K_SPACE31","KEYSW","MXOnly-1U-NoLED",96.043750,-0.444500,0.000000,top
"K_SPACE32","KEYSW","MXOnly-1.75U-NoLED",122.237500,-0.444500,0.000000,top
"K_SPACE33","KEYSW","MXOnly-1.25U-NoLED",231.775000,-19.494500,0.000000,top
"K_SPACE34","KEYSW","MXOnly-1U-NoLED",19.843750,56.705500,0.000000,top
"K_SPACE35","KEYSW","MXOnly-1U-NoLED",148.431250,-0.444500,0.000000,top
"K_SPACE36","KEYSW","MXOnly-1U-NoLED",167.481250,-0.444500,0.000000,top
"K_SPACE37","KEYSW","MXOnly-1U-NoLED",186.531250,-0.444500,0.000000,top
"K_SPACE38","KEYSW","MXOnly-1U-NoLED",205.581250,-0.444500,0.000000,top
"K_SPACE39","KEYSW","MXOnly-1U-NoLED",38.893750,56.705500,0.000000,top
"K_SPACE40","KEYSW","MXOnly-1.25U-NoLED",36.512500,-19.494500,0.000000,top
"K_SPACE41","KEYSW","MXOnly-1.25U-NoLED",60.325000,-19.494500,0.000000,top
"K_SPACE42","KEYSW","MXOnly-1U-NoLED",81.756250,-19.494500,0.000000,top
"K_SPACE43","KEYSW","MXOnly-1.5U-NoLED",105.568750,-19.494500,0.000000,top
"K_SPACE44","KEYSW","MXOnly-1.75U-NoLED",136.525000,-19.494500,0.000000,top
"K_SPACE45","KEYSW","MXOnly-1U-NoLED",162.718750,-19.494500,0.000000,top
"K_SPACE46","KEYSW","MXOnly-1.25U-NoLED",184.150000,-19.494500,0.000000,top
"K_SPACE47","KEYSW","MXOnly-1.25U-NoLED",207.962500,-19.494500,0.000000,top
"K_SPACE48","KEYSW","MXOnly-1U-NoLED",57.943750,56.705500,0.000000,top
"K_SPACE49","KEYSW","MXOnly-1U-NoLED",76.993750,56.705500,0.000000,top
"K_SPACE50","KEYSW","MXOnly-1U-NoLED",96.043750,56.705500,0.000000,top
"K_SPACE51","KEYSW","MXOnly-1U-NoLED",115.093750,56.705500,0.000000,top
"OL1","OLED","OLED_v2",122.237500,45.860500,180.000000,top
"SW2","SW_PUSH","SW_SPST_SKQG_WithoutStem",57.943750,47.180500,0.000000,top
